time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.71;videos/cuts_test/50wtf9.mp4;walk;(499.5, 141.12);(504.0, 135.5);(497.25, 131.25);(491.75, 134.75);(477.0, 122.38);(477.5, 172.38);(446.0, 146.0);(513.0, 195.38);(425.5, 111.44);(556.5, 203.5);(447.5, 77.31);(415.25, 265.0);(407.25, 259.25);(410.25, 352.5);(433.0, 349.5);(380.75, 435.5);(438.25, 441.0)
0.75;videos/cuts_test/50wtf9.mp4;walk;(500.5, 144.5);(505.25, 139.12);(498.5, 134.38);(492.0, 138.5);(479.0, 125.12);(478.0, 176.5);(446.75, 146.75);(515.5, 201.88);(426.25, 104.44);(558.5, 214.0);(443.5, 64.44);(414.5, 266.5);(406.75, 260.0);(410.5, 353.75);(431.5, 350.75);(380.5, 435.5);(438.25, 441.0)
0.79;videos/cuts_test/50wtf9.mp4;walk;(502.5, 147.5);(507.25, 141.62);(500.5, 137.25);(494.25, 140.25);(481.0, 127.62);(479.5, 179.5);(447.75, 146.25);(514.5, 209.25);(427.75, 97.06);(557.0, 224.25);(441.0, 50.5);(415.75, 267.5);(405.25, 260.5);(410.5, 354.0);(430.0, 350.5);(380.5, 435.75);(438.25, 441.0)
0.83;videos/cuts_test/50wtf9.mp4;walk;(505.0, 151.25);(509.5, 145.5);(503.0, 140.75);(496.5, 144.12);(483.75, 130.5);(480.5, 184.25);(449.5, 146.62);(516.5, 219.75);(429.25, 91.81);(562.0, 240.38);(438.75, 38.5);(415.5, 267.75);(403.75, 259.5);(410.5, 354.5);(428.75, 350.75);(380.0, 436.25);(438.25, 441.25)
0.88;videos/cuts_test/50wtf9.mp4;walk;(507.0, 154.88);(511.5, 149.38);(505.0, 144.12);(497.0, 148.75);(486.25, 133.75);(480.25, 188.75);(452.25, 144.5);(512.0, 229.25);(432.25, 84.19);(557.0, 253.88);(440.5, 30.75);(413.5, 267.5);(403.0, 257.5);(411.0, 355.0);(426.25, 351.0);(379.5, 436.5);(437.5, 441.75)
0.92;videos/cuts_test/50wtf9.mp4;walk;(509.0, 158.5);(513.5, 153.0);(508.0, 147.75);(498.0, 151.75);(489.5, 136.5);(480.0, 192.38);(455.5, 143.75);(509.5, 239.75);(440.25, 73.69);(551.5, 269.0);(444.5, 27.5);(412.0, 266.5);(402.25, 255.62);(409.5, 354.5);(425.25, 350.5);(378.5, 436.5);(436.75, 442.75)
0.96;videos/cuts_test/50wtf9.mp4;walk;(510.5, 161.5);(515.0, 156.0);(509.5, 150.62);(498.0, 154.38);(491.25, 139.0);(478.75, 194.75);(458.25, 146.25);(505.5, 245.5);(444.5, 81.56);(546.0, 279.25);(451.0, 30.25);(409.25, 266.0);(403.25, 254.75);(407.25, 354.0);(425.75, 350.0);(379.0, 436.5);(437.25, 442.5)
1.0;videos/cuts_test/50wtf9.mp4;walk;(512.0, 163.62);(516.5, 158.5);(511.0, 152.75);(499.75, 158.0);(492.5, 141.0);(478.0, 197.88);(460.5, 147.0);(503.0, 252.38);(454.25, 76.81);(541.0, 287.5);(462.0, 24.5);(409.0, 265.5);(403.5, 253.62);(406.0, 353.0);(426.25, 349.0);(378.5, 436.5);(437.5, 442.75)
1.04;videos/cuts_test/50wtf9.mp4;walk;(513.0, 166.0);(518.0, 161.25);(512.5, 155.25);(501.5, 160.62);(494.5, 142.88);(477.25, 199.0);(463.0, 148.0);(498.5, 254.62);(460.75, 77.81);(536.0, 292.0);(470.5, 27.0);(408.75, 265.0);(404.75, 253.25);(406.5, 353.0);(427.0, 349.25);(378.5, 436.5);(437.75, 443.0)
1.08;videos/cuts_test/50wtf9.mp4;walk;(514.0, 167.75);(518.5, 163.12);(512.5, 157.0);(502.5, 163.12);(494.5, 145.25);(477.75, 201.62);(463.75, 149.0);(496.5, 256.5);(463.5, 78.94);(529.5, 295.25);(478.0, 29.5);(408.25, 265.25);(403.5, 252.75);(406.5, 353.25);(426.0, 349.5);(378.25, 436.75);(438.25, 443.0)
1.13;videos/cuts_test/50wtf9.mp4;walk;(514.5, 168.88);(519.0, 164.38);(513.5, 158.38);(502.0, 164.0);(495.75, 146.0);(476.5, 202.0);(465.5, 148.88);(491.5, 257.5);(470.5, 75.81);(524.0, 297.25);(488.75, 30.5);(407.25, 264.5);(404.5, 252.75);(406.5, 354.25);(427.25, 350.5);(378.0, 437.25);(439.0, 443.5)
1.17;videos/cuts_test/50wtf9.mp4;walk;(516.0, 169.62);(520.0, 164.62);(515.0, 159.12);(501.0, 162.75);(496.25, 146.88);(475.5, 200.62);(466.75, 151.5);(484.0, 257.25);(475.5, 84.69);(513.5, 303.0);(498.25, 36.0);(406.0, 264.5);(405.25, 253.62);(405.5, 354.5);(428.0, 351.0);(378.25, 437.5);(439.0, 443.0)
1.21;videos/cuts_test/50wtf9.mp4;walk;(518.0, 170.75);(522.0, 165.62);(517.0, 160.12);(502.0, 163.38);(498.0, 147.5);(474.25, 198.38);(469.25, 151.0);(474.0, 257.75);(486.5, 83.06);(493.75, 307.0);(514.0, 40.75);(405.0, 263.5);(405.5, 253.5);(405.0, 354.75);(428.0, 351.5);(378.5, 438.0);(440.0, 443.5)
1.25;videos/cuts_test/50wtf9.mp4;walk;(519.5, 172.0);(523.5, 166.38);(519.5, 161.0);(500.75, 162.75);(500.5, 148.75);(471.75, 195.75);(472.5, 155.0);(462.0, 259.25);(499.25, 91.44);(468.5, 313.0);(537.5, 48.75);(403.75, 263.0);(407.5, 254.5);(404.5, 352.5);(428.25, 350.25);(378.75, 435.25);(437.5, 443.5)
1.29;videos/cuts_test/50wtf9.mp4;walk;(522.0, 174.88);(526.0, 168.5);(521.0, 164.38);(504.5, 162.25);(502.0, 153.0);(465.5, 190.0);(475.25, 159.75);(445.0, 250.5);(510.25, 105.31);(442.5, 297.0);(561.5, 67.19);(400.5, 261.5);(408.75, 256.25);(403.5, 352.5);(425.25, 350.5);(379.5, 434.5);(437.75, 443.5)
1.33;videos/cuts_test/50wtf9.mp4;walk;(523.5, 178.38);(528.5, 172.0);(523.5, 168.0);(507.0, 164.5);(505.5, 156.62);(471.75, 178.0);(477.75, 166.5);(525.0, 145.0);(530.5, 115.25);(584.5, 106.75);(584.5, 89.0);(398.5, 261.75);(405.75, 259.5);(404.0, 353.0);(422.75, 352.5);(379.25, 434.5);(437.0, 441.25)
1.38;videos/cuts_test/50wtf9.mp4;walk;(526.0, 181.25);(530.5, 175.75);(524.0, 171.25);(516.5, 171.75);(508.25, 161.12);(477.75, 186.5);(481.0, 172.62);(527.0, 174.75);(541.5, 134.75);(591.0, 146.5);(596.0, 122.75);(400.25, 265.5);(403.0, 262.5);(403.0, 356.5);(421.5, 355.5);(379.75, 436.0);(437.75, 442.25)
1.42;videos/cuts_test/50wtf9.mp4;walk;(528.0, 184.62);(531.0, 178.25);(525.0, 175.25);(517.0, 173.12);(507.5, 165.5);(487.0, 179.25);(488.25, 174.75);(560.0, 161.5);(558.0, 154.5);(612.5, 151.75);(612.0, 148.75);(401.5, 264.25);(403.25, 263.75);(404.5, 356.0);(421.0, 357.0);(376.75, 435.75);(436.75, 442.75)
1.46;videos/cuts_test/50wtf9.mp4;walk;(517.5, 195.25);(523.0, 189.25);(520.0, 184.25);(506.0, 172.38);(510.5, 165.62);(456.0, 178.75);(496.0, 176.38);(396.5, 203.88);(570.0, 176.25);(352.0, 233.88);(625.5, 179.25);(388.25, 264.0);(407.0, 265.0);(399.0, 359.0);(420.25, 361.0);(375.75, 437.5);(437.25, 445.0)
1.5;videos/cuts_test/50wtf9.mp4;walk;(527.5, 190.25);(532.5, 184.62);(527.0, 180.75);(506.0, 169.25);(508.5, 168.12);(455.5, 175.75);(499.75, 190.25);(399.0, 188.0);(566.0, 198.5);(347.25, 200.62);(624.5, 201.0);(381.75, 259.5);(407.0, 265.25);(395.75, 356.75);(423.5, 361.0);(374.0, 436.5);(437.5, 443.5)
1.54;videos/cuts_test/50wtf9.mp4;walk;(531.0, 191.25);(536.0, 185.25);(529.5, 181.62);(513.0, 171.88);(510.5, 170.25);(456.75, 172.0);(504.5, 195.5);(400.75, 171.0);(566.5, 214.25);(343.5, 173.75);(626.5, 223.62);(376.75, 256.5);(405.75, 263.75);(393.0, 355.5);(423.75, 360.75);(374.0, 436.25);(438.25, 443.5)
1.58;videos/cuts_test/50wtf9.mp4;walk;(530.5, 192.75);(536.0, 186.75);(530.0, 182.88);(512.5, 172.38);(512.0, 170.25);(456.75, 168.62);(502.25, 197.12);(398.25, 157.75);(559.5, 225.0);(351.5, 149.75);(612.0, 244.88);(377.75, 256.5);(405.75, 263.5);(394.5, 354.0);(424.75, 360.0);(374.75, 435.0);(438.75, 443.25)
1.63;videos/cuts_test/50wtf9.mp4;walk;(531.5, 193.5);(537.5, 187.12);(531.0, 184.0);(512.5, 169.5);(515.0, 171.0);(459.25, 165.25);(504.5, 197.88);(406.0, 147.5);(557.0, 231.0);(364.25, 133.5);(607.5, 256.0);(378.5, 255.12);(407.0, 263.25);(394.25, 353.5);(424.75, 359.0);(375.25, 434.25);(438.75, 442.25)
1.67;videos/cuts_test/50wtf9.mp4;walk;(532.0, 194.12);(538.0, 187.75);(532.5, 184.62);(511.75, 168.75);(516.0, 171.0);(460.0, 164.25);(504.0, 197.25);(407.75, 143.5);(554.0, 232.5);(366.0, 124.5);(606.5, 260.75);(380.75, 255.0);(406.75, 262.75);(395.75, 353.5);(423.75, 358.25);(376.25, 434.75);(438.75, 442.0)
1.71;videos/cuts_test/50wtf9.mp4;walk;(535.0, 194.88);(541.0, 188.75);(535.0, 185.25);(514.5, 170.25);(518.5, 171.75);(462.0, 165.25);(505.25, 197.75);(408.25, 144.0);(554.5, 233.62);(366.75, 124.75);(608.5, 262.25);(382.75, 254.88);(406.0, 262.0);(397.75, 353.25);(420.75, 357.25);(377.25, 435.5);(436.5, 441.5)
1.75;videos/cuts_test/50wtf9.mp4;walk;(537.5, 196.0);(543.5, 190.0);(537.5, 186.12);(517.5, 171.75);(521.0, 172.12);(463.5, 165.75);(507.0, 197.75);(410.5, 147.0);(557.5, 235.0);(364.75, 131.5);(611.0, 261.0);(383.0, 253.62);(409.5, 260.75);(395.75, 353.0);(422.5, 355.75);(375.5, 435.0);(437.25, 440.0)
1.79;videos/cuts_test/50wtf9.mp4;walk;(539.5, 196.5);(545.5, 190.38);(539.5, 186.5);(521.5, 173.5);(522.5, 173.25);(466.5, 166.62);(507.5, 198.75);(410.0, 153.5);(558.5, 236.0);(358.75, 143.0);(613.5, 260.25);(384.25, 254.0);(408.0, 261.0);(396.5, 353.0);(421.75, 356.75);(376.0, 435.0);(436.75, 440.5)
1.84;videos/cuts_test/50wtf9.mp4;walk;(541.5, 197.12);(548.0, 191.5);(541.5, 187.5);(526.0, 173.88);(523.5, 173.62);(469.25, 166.25);(507.5, 201.0);(412.0, 161.25);(557.5, 238.0);(354.0, 157.0);(613.0, 260.5);(385.0, 254.12);(407.75, 261.75);(396.5, 353.5);(421.25, 357.5);(375.5, 435.5);(436.5, 441.5)
1.88;videos/cuts_test/50wtf9.mp4;walk;(544.0, 197.38);(550.0, 191.75);(544.0, 187.5);(528.5, 175.62);(525.0, 174.38);(471.0, 166.88);(508.5, 203.75);(413.75, 162.75);(557.0, 244.25);(356.0, 160.25);(610.5, 263.25);(385.5, 255.25);(408.5, 263.75);(396.0, 354.0);(421.5, 359.25);(375.75, 435.5);(435.5, 442.5)
1.92;videos/cuts_test/50wtf9.mp4;walk;(546.0, 198.0);(552.0, 191.88);(545.0, 188.0);(528.5, 175.75);(525.0, 175.25);(472.25, 167.0);(508.0, 206.38);(415.5, 158.5);(556.0, 253.5);(362.5, 151.5);(609.0, 272.25);(387.25, 256.5);(409.25, 265.5);(396.0, 354.5);(421.5, 359.75);(376.5, 435.75);(435.5, 443.0)
1.96;videos/cuts_test/50wtf9.mp4;walk;(545.5, 199.0);(551.5, 192.38);(545.0, 189.5);(527.0, 173.25);(526.0, 176.75);(473.75, 165.5);(505.25, 208.5);(420.5, 149.75);(550.5, 262.25);(378.0, 137.0);(602.5, 284.5);(392.0, 258.75);(409.25, 268.75);(399.5, 354.75);(422.0, 361.0);(379.0, 433.5);(435.5, 443.0)
2.0;videos/cuts_test/50wtf9.mp4;walk;(543.0, 200.38);(549.0, 193.25);(542.5, 191.88);(524.0, 171.38);(523.0, 180.25);(477.0, 163.12);(498.5, 211.5);(432.0, 141.75);(536.5, 271.75);(400.5, 122.5);(588.0, 299.5);(397.5, 257.25);(406.25, 268.5);(404.75, 354.25);(422.0, 361.5);(383.0, 431.5);(435.0, 444.5)
2.04;videos/cuts_test/50wtf9.mp4;walk;(540.0, 201.5);(545.0, 193.5);(538.5, 193.25);(518.5, 171.5);(517.0, 182.25);(477.0, 160.75);(491.0, 215.25);(443.25, 132.5);(518.0, 283.5);(420.0, 106.0);(555.0, 320.0);(398.5, 253.62);(407.0, 266.75);(407.75, 349.25);(423.25, 358.5);(386.5, 422.0);(434.0, 443.0)
2.09;videos/cuts_test/50wtf9.mp4;walk;(536.0, 200.88);(541.0, 192.62);(534.0, 193.12);(511.5, 170.88);(511.25, 182.75);(477.5, 160.25);(482.0, 219.62);(459.75, 127.5);(490.0, 290.5);(451.25, 93.0);(509.5, 326.0);(403.0, 256.5);(406.5, 271.25);(416.75, 349.25);(428.75, 361.25);(386.5, 414.5);(435.5, 444.0)
2.13;videos/cuts_test/50wtf9.mp4;walk;(531.0, 199.88);(536.0, 191.75);(529.5, 191.75);(512.5, 173.5);(505.25, 180.75);(479.0, 159.0);(473.5, 215.38);(477.0, 114.44);(459.25, 281.0);(484.25, 73.31);(460.0, 331.25);(404.5, 253.75);(406.0, 268.75);(421.0, 343.0);(433.25, 357.5);(384.0, 404.25);(438.0, 443.5)
2.17;videos/cuts_test/50wtf9.mp4;walk;(527.0, 196.88);(531.0, 188.25);(524.5, 188.88);(510.75, 172.0);(499.5, 178.62);(480.25, 160.25);(461.5, 212.25);(497.5, 108.81);(425.0, 274.5);(521.0, 67.44);(424.0, 337.0);(417.0, 257.75);(410.0, 271.0);(435.0, 336.25);(437.5, 349.0);(389.0, 393.25);(436.0, 441.5)
2.21;videos/cuts_test/50wtf9.mp4;walk;(519.0, 194.12);(523.5, 185.25);(518.0, 185.38);(501.0, 169.25);(492.5, 174.88);(481.0, 163.88);(446.0, 205.25);(520.5, 115.31);(398.75, 261.5);(563.5, 72.94);(366.0, 318.5);(425.5, 265.5);(409.5, 278.0);(451.5, 326.5);(435.5, 349.0);(403.5, 385.25);(434.0, 441.5)
2.25;videos/cuts_test/50wtf9.mp4;walk;(515.0, 188.75);(519.5, 180.0);(512.5, 180.0);(502.25, 166.25);(486.25, 169.0);(486.0, 165.0);(438.75, 196.0);(541.0, 132.75);(381.5, 243.0);(596.5, 104.5);(330.0, 288.5);(431.25, 260.5);(406.0, 271.75);(462.0, 323.5);(435.0, 355.5);(419.25, 384.75);(431.25, 443.5)
2.29;videos/cuts_test/50wtf9.mp4;walk;(506.0, 184.25);(510.0, 177.0);(502.5, 175.75);(502.0, 168.12);(478.25, 164.25);(470.5, 179.5);(432.0, 189.25);(443.0, 197.75);(369.5, 224.0);(427.25, 226.5);(307.5, 259.0);(437.0, 263.5);(406.0, 271.25);(467.0, 317.75);(433.75, 354.0);(447.25, 384.0);(430.0, 440.0)
2.34;videos/cuts_test/50wtf9.mp4;walk;(499.75, 178.25);(504.0, 170.5);(494.5, 170.0);(500.5, 162.75);(467.0, 159.75);(481.0, 178.12);(421.25, 184.0);(527.5, 186.75);(357.75, 207.5);(572.0, 206.5);(291.5, 227.88);(441.25, 263.0);(407.0, 270.75);(474.5, 312.5);(439.0, 351.75);(469.5, 385.75);(433.5, 440.0)
2.38;videos/cuts_test/50wtf9.mp4;walk;(490.5, 171.25);(493.75, 163.38);(485.0, 163.25);(490.0, 157.12);(458.0, 155.25);(480.5, 179.62);(414.5, 178.0);(516.0, 216.5);(355.25, 188.25);(538.0, 256.75);(294.75, 192.25);(447.25, 260.0);(411.25, 268.25);(487.75, 307.0);(445.5, 352.0);(497.5, 379.0);(435.5, 439.0)
2.42;videos/cuts_test/50wtf9.mp4;walk;(479.25, 166.75);(483.0, 159.0);(473.0, 159.0);(481.5, 153.5);(446.25, 151.75);(475.0, 178.62);(412.25, 172.75);(490.25, 228.75);(366.25, 171.5);(496.75, 282.0);(326.5, 159.25);(452.0, 257.75);(416.0, 267.0);(498.5, 296.0);(452.0, 352.0);(518.0, 364.25);(438.5, 440.25)
2.46;videos/cuts_test/50wtf9.mp4;walk;(468.0, 162.62);(471.25, 153.75);(461.25, 155.38);(468.0, 147.25);(434.25, 149.5);(465.75, 175.0);(405.0, 176.12);(472.5, 226.5);(374.5, 170.75);(473.25, 284.25);(367.25, 128.5);(457.25, 258.0);(421.0, 270.5);(507.0, 297.25);(463.0, 352.25);(540.5, 355.75);(440.5, 438.0)
2.5;videos/cuts_test/50wtf9.mp4;walk;(455.75, 160.25);(458.5, 152.0);(448.5, 153.12);(457.5, 148.62);(423.0, 151.25);(452.5, 176.12);(399.5, 186.12);(467.75, 220.0);(393.75, 184.5);(476.5, 269.0);(412.5, 134.0);(463.0, 265.0);(432.25, 282.5);(512.0, 287.75);(474.5, 355.0);(559.5, 341.75);(444.75, 438.0)
2.54;videos/cuts_test/50wtf9.mp4;walk;(449.75, 156.75);(451.25, 148.75);(443.25, 149.75);(442.75, 146.25);(413.5, 149.5);(435.0, 164.25);(392.75, 185.5);(470.75, 131.25);(430.25, 163.0);(485.5, 121.25);(456.75, 109.75);(467.0, 256.5);(438.0, 281.5);(516.0, 273.5);(484.0, 355.5);(579.0, 325.0);(447.5, 437.5)
2.59;videos/cuts_test/50wtf9.mp4;walk;(432.5, 156.75);(433.75, 148.5);(423.5, 151.0);(430.5, 146.75);(395.75, 153.25);(422.5, 172.5);(397.0, 193.25);(477.75, 157.75);(448.75, 187.25);(503.5, 122.0);(482.0, 144.0);(467.75, 259.25);(444.0, 283.0);(528.5, 276.75);(489.5, 353.5);(593.0, 312.0);(449.5, 436.5)
2.63;videos/cuts_test/50wtf9.mp4;fall;(420.75, 157.5);(422.0, 148.88);(410.75, 152.12);(420.25, 147.5);(384.25, 156.25);(400.0, 173.12);(399.0, 202.75);(450.25, 159.0);(460.0, 206.62);(504.75, 149.75);(514.0, 164.75);(464.0, 256.25);(447.5, 284.0);(535.0, 270.5);(493.5, 354.0);(603.5, 298.5);(449.75, 438.0)
2.67;videos/cuts_test/50wtf9.mp4;fall;(411.25, 157.12);(411.0, 148.0);(400.0, 152.75);(407.5, 147.38);(376.0, 160.5);(388.0, 173.75);(398.75, 206.5);(420.25, 140.75);(474.0, 214.5);(463.75, 114.25);(530.5, 179.5);(466.0, 254.75);(452.75, 284.0);(544.0, 270.25);(497.0, 356.0);(619.0, 285.5);(453.5, 438.0)
2.71;videos/cuts_test/50wtf9.mp4;fall;(403.5, 157.5);(401.25, 147.75);(392.0, 154.25);(395.0, 146.5);(370.75, 164.25);(381.75, 172.38);(397.0, 210.88);(400.0, 125.5);(464.0, 226.12);(421.5, 87.0);(525.5, 206.75);(469.5, 254.0);(457.0, 286.0);(550.5, 269.5);(501.5, 357.5);(625.5, 276.0);(458.0, 437.0)
2.75;videos/cuts_test/50wtf9.mp4;fall;(397.5, 155.75);(394.25, 147.75);(385.5, 153.25);(386.5, 151.5);(365.0, 165.25);(376.25, 177.25);(396.0, 208.5);(382.0, 116.75);(454.5, 240.0);(386.5, 67.75);(513.0, 230.75);(470.0, 259.75);(460.0, 290.0);(552.0, 271.25);(502.5, 361.25);(628.0, 268.25);(462.25, 437.5)
2.79;videos/cuts_test/50wtf9.mp4;fall;(392.25, 155.62);(389.25, 146.38);(381.0, 151.5);(376.5, 149.5);(358.75, 163.75);(368.25, 175.38);(392.0, 212.0);(356.5, 111.56);(449.0, 255.25);(347.25, 56.75);(506.75, 256.25);(466.0, 266.75);(461.5, 297.5);(545.5, 271.5);(505.0, 366.0);(629.0, 277.0);(463.25, 442.0)
2.84;videos/cuts_test/50wtf9.mp4;fall;(387.0, 159.5);(383.75, 151.5);(377.5, 153.75);(365.0, 155.62);(355.5, 166.38);(362.5, 186.0);(387.75, 216.88);(338.0, 130.62);(442.0, 266.25);(308.75, 77.94);(505.0, 282.0);(457.5, 274.25);(454.75, 300.25);(548.0, 279.5);(505.75, 361.5);(629.0, 286.0);(466.5, 432.0)
2.88;videos/cuts_test/50wtf9.mp4;fall;(379.5, 165.38);(377.0, 158.75);(370.0, 160.38);(363.75, 165.75);(346.75, 173.75);(364.5, 195.75);(373.5, 227.25);(328.0, 136.0);(429.75, 282.0);(282.5, 99.0);(485.0, 315.0);(463.25, 271.5);(450.0, 305.5);(549.5, 269.25);(507.5, 365.0);(622.5, 282.5);(466.0, 432.75)
