time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.71;videos/cuts_test/50wtf9.mp4;walk;(499.5, 141.12);(504.0, 135.5);(497.25, 131.25);(491.75, 134.75);(477.0, 122.38);(477.5, 172.38);(446.0, 146.0);(513.0, 195.38);(425.5, 111.44);(556.5, 203.5);(447.5, 77.31);(415.25, 265.0);(407.25, 259.25);(410.25, 352.5);(433.0, 349.5);(380.75, 435.5);(438.25, 441.0)
0.75;videos/cuts_test/50wtf9.mp4;walk;(500.5, 144.5);(505.25, 139.12);(498.5, 134.38);(492.0, 138.5);(479.0, 125.12);(478.0, 176.5);(446.75, 146.75);(515.5, 201.88);(426.25, 104.44);(558.5, 214.0);(443.5, 64.44);(414.5, 266.5);(406.75, 260.0);(410.5, 353.75);(431.5, 350.75);(380.5, 435.5);(438.25, 441.0)
0.79;videos/cuts_test/50wtf9.mp4;walk;(502.5, 147.5);(507.25, 141.62);(500.5, 137.25);(494.25, 140.25);(481.0, 127.62);(479.5, 179.5);(447.75, 146.25);(514.5, 209.25);(427.75, 97.06);(557.0, 224.25);(441.0, 50.5);(415.75, 267.5);(405.25, 260.5);(410.5, 354.0);(430.0, 350.5);(380.5, 435.75);(438.25, 441.0)
0.83;videos/cuts_test/50wtf9.mp4;walk;(505.0, 151.25);(509.5, 145.5);(503.0, 140.75);(496.5, 144.12);(483.75, 130.5);(480.5, 184.25);(449.5, 146.62);(516.5, 219.75);(429.25, 91.81);(562.0, 240.38);(438.75, 38.5);(415.5, 267.75);(403.75, 259.5);(410.5, 354.5);(428.75, 350.75);(380.0, 436.25);(438.25, 441.25)
0.88;videos/cuts_test/50wtf9.mp4;walk;(507.0, 154.88);(511.5, 149.38);(505.0, 144.12);(497.0, 148.75);(486.25, 133.75);(480.25, 188.75);(452.25, 144.5);(512.0, 229.25);(432.25, 84.19);(557.0, 253.88);(440.5, 30.75);(413.5, 267.5);(403.0, 257.5);(411.0, 355.0);(426.25, 351.0);(379.5, 436.5);(437.5, 441.75)
0.92;videos/cuts_test/50wtf9.mp4;walk;(509.0, 158.5);(513.5, 153.0);(508.0, 147.75);(498.0, 151.75);(489.5, 136.5);(480.0, 192.38);(455.5, 143.75);(509.5, 239.75);(440.25, 73.69);(551.5, 269.0);(444.5, 27.5);(412.0, 266.5);(402.25, 255.62);(409.5, 354.5);(425.25, 350.5);(378.5, 436.5);(436.75, 442.75)
0.96;videos/cuts_test/50wtf9.mp4;walk;(510.5, 161.5);(515.0, 156.0);(509.5, 150.62);(498.0, 154.38);(491.25, 139.0);(478.75, 194.75);(458.25, 146.25);(505.5, 245.5);(444.5, 81.56);(546.0, 279.25);(451.0, 30.25);(409.25, 266.0);(403.25, 254.75);(407.25, 354.0);(425.75, 350.0);(379.0, 436.5);(437.25, 442.5)
1.0;videos/cuts_test/50wtf9.mp4;walk;(512.0, 163.62);(516.5, 158.5);(511.0, 152.75);(499.75, 158.0);(492.5, 141.0);(478.0, 197.88);(460.5, 147.0);(503.0, 252.38);(454.25, 76.81);(541.0, 287.5);(462.0, 24.5);(409.0, 265.5);(403.5, 253.62);(406.0, 353.0);(426.25, 349.0);(378.5, 436.5);(437.5, 442.75)
1.04;videos/cuts_test/50wtf9.mp4;walk;(513.0, 166.0);(518.0, 161.25);(512.5, 155.25);(501.5, 160.62);(494.5, 142.88);(477.25, 199.0);(463.0, 148.0);(498.5, 254.62);(460.75, 77.81);(536.0, 292.0);(470.5, 27.0);(408.75, 265.0);(404.75, 253.25);(406.5, 353.0);(427.0, 349.25);(378.5, 436.5);(437.75, 443.0)
1.08;videos/cuts_test/50wtf9.mp4;walk;(514.0, 167.75);(518.5, 163.12);(512.5, 157.0);(502.5, 163.12);(494.5, 145.25);(477.75, 201.62);(463.75, 149.0);(496.5, 256.5);(463.5, 78.94);(529.5, 295.25);(478.0, 29.5);(408.25, 265.25);(403.5, 252.75);(406.5, 353.25);(426.0, 349.5);(378.25, 436.75);(438.25, 443.0)
1.13;videos/cuts_test/50wtf9.mp4;walk;(514.5, 168.88);(519.0, 164.38);(513.5, 158.38);(502.0, 164.0);(495.75, 146.0);(476.5, 202.0);(465.5, 148.88);(491.5, 257.5);(470.5, 75.81);(524.0, 297.25);(488.75, 30.5);(407.25, 264.5);(404.5, 252.75);(406.5, 354.25);(427.25, 350.5);(378.0, 437.25);(439.0, 443.5)
1.17;videos/cuts_test/50wtf9.mp4;walk;(516.0, 169.62);(520.0, 164.62);(515.0, 159.12);(501.0, 162.75);(496.25, 146.88);(475.5, 200.62);(466.75, 151.5);(484.0, 257.25);(475.5, 84.69);(513.5, 303.0);(498.25, 36.0);(406.0, 264.5);(405.25, 253.62);(405.5, 354.5);(428.0, 351.0);(378.25, 437.5);(439.0, 443.0)
1.21;videos/cuts_test/50wtf9.mp4;walk;(518.0, 170.75);(522.0, 165.62);(517.0, 160.12);(502.0, 163.38);(498.0, 147.5);(474.25, 198.38);(469.25, 151.0);(474.0, 257.75);(486.5, 83.06);(493.75, 307.0);(514.0, 40.75);(405.0, 263.5);(405.5, 253.5);(405.0, 354.75);(428.0, 351.5);(378.5, 438.0);(440.0, 443.5)
1.25;videos/cuts_test/50wtf9.mp4;walk;(519.5, 172.0);(523.5, 166.38);(519.5, 161.0);(500.75, 162.75);(500.5, 148.75);(471.75, 195.75);(472.5, 155.0);(462.0, 259.25);(499.25, 91.44);(468.5, 313.0);(537.5, 48.75);(403.75, 263.0);(407.5, 254.5);(404.5, 352.5);(428.25, 350.25);(378.75, 435.25);(437.5, 443.5)
1.29;videos/cuts_test/50wtf9.mp4;walk;(522.0, 174.88);(526.0, 168.5);(521.0, 164.38);(504.5, 162.25);(502.0, 153.0);(465.5, 190.0);(475.25, 159.75);(445.0, 250.5);(510.25, 105.31);(442.5, 297.0);(561.5, 67.19);(400.5, 261.5);(408.75, 256.25);(403.5, 352.5);(425.25, 350.5);(379.5, 434.5);(437.75, 443.5)
1.33;videos/cuts_test/50wtf9.mp4;walk;(523.5, 178.38);(528.5, 172.0);(523.5, 168.0);(507.0, 164.5);(505.5, 156.62);(471.75, 178.0);(477.75, 166.5);(525.0, 145.0);(530.5, 115.25);(584.5, 106.75);(584.5, 89.0);(398.5, 261.75);(405.75, 259.5);(404.0, 353.0);(422.75, 352.5);(379.25, 434.5);(437.0, 441.25)
1.38;videos/cuts_test/50wtf9.mp4;walk;(526.0, 181.25);(530.5, 175.75);(524.0, 171.25);(516.5, 171.75);(508.25, 161.12);(477.75, 186.5);(481.0, 172.62);(527.0, 174.75);(541.5, 134.75);(591.0, 146.5);(596.0, 122.75);(400.25, 265.5);(403.0, 262.5);(403.0, 356.5);(421.5, 355.5);(379.75, 436.0);(437.75, 442.25)
1.42;videos/cuts_test/50wtf9.mp4;walk;(528.0, 184.62);(531.0, 178.25);(525.0, 175.25);(517.0, 173.12);(507.5, 165.5);(487.0, 179.25);(488.25, 174.75);(560.0, 161.5);(558.0, 154.5);(612.5, 151.75);(612.0, 148.75);(401.5, 264.25);(403.25, 263.75);(404.5, 356.0);(421.0, 357.0);(376.75, 435.75);(436.75, 442.75)
1.46;videos/cuts_test/50wtf9.mp4;walk;(517.5, 195.25);(523.0, 189.25);(520.0, 184.25);(506.0, 172.38);(510.5, 165.62);(456.0, 178.75);(496.0, 176.38);(396.5, 203.88);(570.0, 176.25);(352.0, 233.88);(625.5, 179.25);(388.25, 264.0);(407.0, 265.0);(399.0, 359.0);(420.25, 361.0);(375.75, 437.5);(437.25, 445.0)
1.5;videos/cuts_test/50wtf9.mp4;walk;(527.5, 190.25);(532.5, 184.62);(527.0, 180.75);(506.0, 169.25);(508.5, 168.12);(455.5, 175.75);(499.75, 190.25);(399.0, 188.0);(566.0, 198.5);(347.25, 200.62);(624.5, 201.0);(381.75, 259.5);(407.0, 265.25);(395.75, 356.75);(423.5, 361.0);(374.0, 436.5);(437.5, 443.5)
1.54;videos/cuts_test/50wtf9.mp4;walk;(531.0, 191.25);(536.0, 185.25);(529.5, 181.62);(513.0, 171.88);(510.5, 170.25);(456.75, 172.0);(504.5, 195.5);(400.75, 171.0);(566.5, 214.25);(343.5, 173.75);(626.5, 223.62);(376.75, 256.5);(405.75, 263.75);(393.0, 355.5);(423.75, 360.75);(374.0, 436.25);(438.25, 443.5)
1.58;videos/cuts_test/50wtf9.mp4;walk;(530.5, 192.75);(536.0, 186.75);(530.0, 182.88);(512.5, 172.38);(512.0, 170.25);(456.75, 168.62);(502.25, 197.12);(398.25, 157.75);(559.5, 225.0);(351.5, 149.75);(612.0, 244.88);(377.75, 256.5);(405.75, 263.5);(394.5, 354.0);(424.75, 360.0);(374.75, 435.0);(438.75, 443.25)
1.63;videos/cuts_test/50wtf9.mp4;walk;(531.5, 193.5);(537.5, 187.12);(531.0, 184.0);(512.5, 169.5);(515.0, 171.0);(459.25, 165.25);(504.5, 197.88);(406.0, 147.5);(557.0, 231.0);(364.25, 133.5);(607.5, 256.0);(378.5, 255.12);(407.0, 263.25);(394.25, 353.5);(424.75, 359.0);(375.25, 434.25);(438.75, 442.25)
1.67;videos/cuts_test/50wtf9.mp4;walk;(532.0, 194.12);(538.0, 187.75);(532.5, 184.62);(511.75, 168.75);(516.0, 171.0);(460.0, 164.25);(504.0, 197.25);(407.75, 143.5);(554.0, 232.5);(366.0, 124.5);(606.5, 260.75);(380.75, 255.0);(406.75, 262.75);(395.75, 353.5);(423.75, 358.25);(376.25, 434.75);(438.75, 442.0)
1.71;videos/cuts_test/50wtf9.mp4;walk;(535.0, 194.88);(541.0, 188.75);(535.0, 185.25);(514.5, 170.25);(518.5, 171.75);(462.0, 165.25);(505.25, 197.75);(408.25, 144.0);(554.5, 233.62);(366.75, 124.75);(608.5, 262.25);(382.75, 254.88);(406.0, 262.0);(397.75, 353.25);(420.75, 357.25);(377.25, 435.5);(436.5, 441.5)
1.75;videos/cuts_test/50wtf9.mp4;walk;(537.5, 196.0);(543.5, 190.0);(537.5, 186.12);(517.5, 171.75);(521.0, 172.12);(463.5, 165.75);(507.0, 197.75);(410.5, 147.0);(557.5, 235.0);(364.75, 131.5);(611.0, 261.0);(383.0, 253.62);(409.5, 260.75);(395.75, 353.0);(422.5, 355.75);(375.5, 435.0);(437.25, 440.0)
1.79;videos/cuts_test/50wtf9.mp4;walk;(539.5, 196.5);(545.5, 190.38);(539.5, 186.5);(521.5, 173.5);(522.5, 173.25);(466.5, 166.62);(507.5, 198.75);(410.0, 153.5);(558.5, 236.0);(358.75, 143.0);(613.5, 260.25);(384.25, 254.0);(408.0, 261.0);(396.5, 353.0);(421.75, 356.75);(376.0, 435.0);(436.75, 440.5)
1.84;videos/cuts_test/50wtf9.mp4;walk;(541.5, 197.12);(548.0, 191.5);(541.5, 187.5);(526.0, 173.88);(523.5, 173.62);(469.25, 166.25);(507.5, 201.0);(412.0, 161.25);(557.5, 238.0);(354.0, 157.0);(613.0, 260.5);(385.0, 254.12);(407.75, 261.75);(396.5, 353.5);(421.25, 357.5);(375.5, 435.5);(436.5, 441.5)
1.88;videos/cuts_test/50wtf9.mp4;walk;(544.0, 197.38);(550.0, 191.75);(544.0, 187.5);(528.5, 175.62);(525.0, 174.38);(471.0, 166.88);(508.5, 203.75);(413.75, 162.75);(557.0, 244.25);(356.0, 160.25);(610.5, 263.25);(385.5, 255.25);(408.5, 263.75);(396.0, 354.0);(421.5, 359.25);(375.75, 435.5);(435.5, 442.5)
1.92;videos/cuts_test/50wtf9.mp4;walk;(546.0, 198.0);(552.0, 191.88);(545.0, 188.0);(528.5, 175.75);(525.0, 175.25);(472.25, 167.0);(508.0, 206.38);(415.5, 158.5);(556.0, 253.5);(362.5, 151.5);(609.0, 272.25);(387.25, 256.5);(409.25, 265.5);(396.0, 354.5);(421.5, 359.75);(376.5, 435.75);(435.5, 443.0)
1.96;videos/cuts_test/50wtf9.mp4;walk;(545.5, 199.0);(551.5, 192.38);(545.0, 189.5);(527.0, 173.25);(526.0, 176.75);(473.75, 165.5);(505.25, 208.5);(420.5, 149.75);(550.5, 262.25);(378.0, 137.0);(602.5, 284.5);(392.0, 258.75);(409.25, 268.75);(399.5, 354.75);(422.0, 361.0);(379.0, 433.5);(435.5, 443.0)
2.0;videos/cuts_test/50wtf9.mp4;walk;(543.0, 200.38);(549.0, 193.25);(542.5, 191.88);(524.0, 171.38);(523.0, 180.25);(477.0, 163.12);(498.5, 211.5);(432.0, 141.75);(536.5, 271.75);(400.5, 122.5);(588.0, 299.5);(397.5, 257.25);(406.25, 268.5);(404.75, 354.25);(422.0, 361.5);(383.0, 431.5);(435.0, 444.5)
2.04;videos/cuts_test/50wtf9.mp4;walk;(540.0, 201.5);(545.0, 193.5);(538.5, 193.25);(518.5, 171.5);(517.0, 182.25);(477.0, 160.75);(491.0, 215.25);(443.25, 132.5);(518.0, 283.5);(420.0, 106.0);(555.0, 320.0);(398.5, 253.62);(407.0, 266.75);(407.75, 349.25);(423.25, 358.5);(386.5, 422.0);(434.0, 443.0)
2.09;videos/cuts_test/50wtf9.mp4;walk;(536.0, 200.88);(541.0, 192.62);(534.0, 193.12);(511.5, 170.88);(511.25, 182.75);(477.5, 160.25);(482.0, 219.62);(459.75, 127.5);(490.0, 290.5);(451.25, 93.0);(509.5, 326.0);(403.0, 256.5);(406.5, 271.25);(416.75, 349.25);(428.75, 361.25);(386.5, 414.5);(435.5, 444.0)
2.13;videos/cuts_test/50wtf9.mp4;walk;(531.0, 199.88);(536.0, 191.75);(529.5, 191.75);(512.5, 173.5);(505.25, 180.75);(479.0, 159.0);(473.5, 215.38);(477.0, 114.44);(459.25, 281.0);(484.25, 73.31);(460.0, 331.25);(404.5, 253.75);(406.0, 268.75);(421.0, 343.0);(433.25, 357.5);(384.0, 404.25);(438.0, 443.5)
0.0;videos/cuts_test/50wtf12.mp4;walk;(320.0, 176.25);(321.75, 169.0);(315.5, 167.0);(297.25, 165.75);(290.25, 163.38);(259.5, 189.25);(262.25, 194.5);(225.25, 250.0);(222.88, 255.5);(233.38, 311.25);(226.38, 320.5);(189.0, 283.0);(198.0, 285.0);(218.12, 371.0);(242.12, 369.0);(182.25, 453.25);(212.25, 454.0)
0.04;videos/cuts_test/50wtf12.mp4;walk;(324.5, 181.5);(326.0, 173.75);(320.0, 172.25);(301.0, 169.25);(294.25, 167.5);(258.0, 190.25);(267.25, 199.25);(223.25, 254.0);(230.75, 262.5);(231.75, 319.5);(233.12, 328.5);(180.62, 284.5);(200.25, 288.25);(210.62, 374.25);(247.0, 372.0);(180.0, 454.0);(218.62, 457.25)
0.08;videos/cuts_test/50wtf12.mp4;walk;(328.25, 187.75);(330.5, 180.5);(324.75, 178.5);(304.0, 174.88);(300.0, 172.5);(261.0, 191.38);(271.5, 204.25);(226.62, 255.5);(237.12, 268.5);(234.0, 323.5);(241.0, 334.25);(183.0, 284.5);(202.88, 289.5);(211.5, 376.25);(245.25, 376.5);(179.75, 453.5);(219.12, 460.0)
0.13;videos/cuts_test/50wtf12.mp4;walk;(333.0, 193.12);(336.75, 185.88);(329.5, 183.25);(311.25, 179.0);(304.25, 176.25);(260.0, 185.88);(276.0, 209.0);(213.75, 206.25);(242.25, 272.5);(220.75, 246.25);(247.25, 337.5);(183.62, 285.0);(206.5, 291.5);(214.75, 374.75);(248.12, 377.5);(182.0, 449.0);(218.5, 459.25)
0.17;videos/cuts_test/50wtf12.mp4;walk;(336.25, 195.25);(340.0, 188.25);(333.0, 185.75);(312.75, 180.62);(308.25, 178.5);(265.0, 186.75);(279.25, 209.88);(221.62, 200.25);(246.25, 273.75);(194.88, 234.25);(251.0, 340.0);(186.25, 284.5);(209.12, 289.75);(218.0, 374.0);(248.5, 376.5);(185.0, 446.0);(219.62, 459.0)
0.21;videos/cuts_test/50wtf12.mp4;walk;(338.75, 195.5);(342.5, 188.5);(335.25, 185.75);(317.75, 180.75);(311.0, 178.5);(269.25, 186.0);(281.75, 211.12);(229.38, 198.0);(249.0, 274.0);(198.0, 229.75);(253.12, 339.75);(189.25, 283.5);(211.0, 289.25);(221.5, 371.25);(246.75, 376.0);(188.5, 442.25);(219.75, 458.75)
0.25;videos/cuts_test/50wtf12.mp4;walk;(341.75, 195.5);(345.5, 188.75);(338.75, 185.75);(319.75, 179.5);(314.5, 177.88);(272.25, 183.75);(285.0, 210.75);(232.75, 195.88);(252.0, 273.75);(199.88, 226.75);(255.62, 339.75);(190.88, 279.75);(212.88, 286.5);(222.62, 369.5);(245.5, 374.5);(194.0, 437.25);(220.0, 457.75)
0.29;videos/cuts_test/50wtf12.mp4;walk;(344.5, 195.38);(348.25, 188.5);(342.0, 185.5);(323.5, 179.25);(318.75, 177.12);(275.75, 182.62);(288.75, 209.62);(233.62, 195.25);(255.5, 273.0);(201.0, 225.0);(260.0, 340.0);(193.12, 277.0);(214.25, 283.75);(223.5, 368.5);(244.25, 373.25);(199.0, 434.75);(220.12, 457.0)
0.0;videos/cuts_test/50wtf16.mp4;walk;(338.5, 114.62);(339.5, 108.5);(328.5, 110.25);(339.75, 116.25);(311.5, 121.62);(352.5, 164.25);(294.0, 158.75);(357.5, 215.75);(277.0, 212.5);(339.75, 215.75);(324.25, 212.75);(342.5, 267.5);(303.25, 266.25);(338.5, 347.0);(303.5, 347.0);(326.25, 418.0);(295.75, 427.0)
0.04;videos/cuts_test/50wtf16.mp4;walk;(338.75, 114.38);(340.0, 108.38);(328.75, 110.12);(340.0, 116.0);(311.75, 121.62);(352.75, 164.25);(294.5, 158.5);(357.75, 215.75);(277.5, 212.5);(340.0, 215.75);(324.75, 212.62);(342.75, 267.25);(303.75, 266.25);(339.0, 347.0);(303.75, 347.25);(326.25, 417.75);(295.75, 427.0)
0.08;videos/cuts_test/50wtf16.mp4;walk;(339.0, 114.38);(340.25, 108.25);(329.0, 110.12);(340.25, 116.0);(312.0, 121.62);(353.0, 164.12);(294.75, 158.5);(358.0, 216.0);(277.75, 212.5);(340.0, 215.38);(325.25, 212.5);(343.0, 267.25);(304.0, 266.0);(339.0, 347.25);(304.0, 347.5);(326.5, 417.75);(295.75, 427.25)
0.0;videos/cuts_test/50wtf28.mp4;walk;(491.25, 103.88);(495.5, 97.75);(482.0, 98.0);(499.0, 106.88);(464.5, 107.12);(515.5, 158.0);(443.5, 158.62);(527.0, 217.5);(431.25, 217.88);(517.5, 266.25);(435.25, 269.5);(502.0, 270.75);(455.75, 270.75);(500.5, 356.25);(459.5, 355.75);(498.0, 433.5);(465.75, 435.0)
0.04;videos/cuts_test/50wtf28.mp4;walk;(491.5, 104.25);(496.0, 98.12);(482.25, 98.12);(499.5, 107.25);(465.0, 107.12);(516.0, 158.5);(443.5, 158.5);(527.0, 218.0);(431.0, 217.5);(517.5, 266.25);(435.0, 269.25);(501.5, 270.75);(455.5, 270.75);(500.5, 356.25);(459.25, 355.5);(498.0, 433.5);(465.75, 434.75)
0.0;videos/cuts_test/50wtf31.mp4;walk;(468.5, 159.25);(469.25, 153.0);(463.25, 151.0);(455.25, 156.88);(438.75, 152.62);(452.0, 210.12);(388.0, 182.62);(470.5, 263.75);(331.25, 214.75);(509.25, 298.75);(293.0, 256.75);(409.0, 292.75);(361.0, 287.5);(455.0, 350.25);(347.0, 365.5);(447.75, 433.0);(321.5, 441.25)
0.04;videos/cuts_test/50wtf31.mp4;walk;(470.0, 161.12);(471.0, 155.0);(464.75, 152.5);(458.25, 158.62);(440.25, 153.38);(452.75, 211.75);(389.0, 182.62);(469.75, 265.25);(332.0, 214.0);(508.25, 301.0);(293.5, 255.62);(408.75, 293.0);(360.75, 287.25);(454.75, 350.5);(346.25, 366.25);(447.75, 433.0);(321.75, 441.0)
0.0;videos/cuts_test/50wtf47.mp4;walk;(695.0, 139.12);(701.0, 129.25);(693.0, 131.75);(730.0, 125.0);(712.0, 129.75);(760.0, 155.75);(735.0, 167.88);(747.0, 224.12);(750.5, 234.5);(701.0, 275.0);(731.0, 286.25);(810.0, 277.5);(771.0, 280.0);(823.0, 384.0);(715.0, 348.25);(899.0, 447.0);(722.5, 448.0)
0.04;videos/cuts_test/50wtf47.mp4;walk;(678.0, 139.25);(683.5, 130.0);(677.0, 132.25);(712.0, 125.0);(697.0, 128.75);(743.0, 156.0);(722.0, 164.75);(738.5, 222.75);(732.0, 230.0);(699.5, 283.0);(703.0, 283.5);(793.0, 276.5);(759.0, 278.75);(792.0, 384.5);(706.5, 351.5);(876.0, 426.25);(719.0, 448.25)
0.08;videos/cuts_test/50wtf47.mp4;walk;(664.0, 142.62);(669.0, 132.0);(662.0, 134.5);(695.0, 126.75);(679.0, 131.38);(727.0, 158.5);(706.0, 169.75);(736.5, 228.5);(726.0, 235.5);(709.5, 294.75);(710.5, 294.5);(777.5, 281.5);(744.5, 282.5);(753.0, 377.5);(698.0, 355.0);(841.0, 404.0);(719.5, 450.5)
